,failures,higher,age,Medu,Fedu,goout,G3
0,0,0,18,4,4,4,6
1,0,0,17,1,1,3,6
2,3,0,15,1,1,2,10
3,0,0,15,4,2,2,15
4,0,0,16,3,3,2,10
5,0,0,16,4,3,2,15
6,0,0,16,2,2,4,11
7,0,0,17,4,4,4,6
8,0,0,15,3,2,2,19
9,0,0,15,3,4,1,15
10,0,0,15,4,4,3,9
11,0,0,15,2,1,2,12
12,0,0,15,4,4,3,14
13,0,0,15,4,3,3,11
14,0,0,15,2,2,2,16
15,0,0,16,4,4,4,14
16,0,0,16,4,4,3,14
17,0,0,16,3,3,2,10
18,3,0,17,3,2,5,5
19,0,0,16,4,3,3,10
20,0,0,15,4,3,1,15
21,0,0,15,4,4,2,15
22,0,0,16,4,2,1,16
23,0,0,16,2,2,4,12
24,0,0,15,2,4,2,8
25,2,0,16,2,2,2,8
26,0,0,15,2,2,2,11
27,0,0,15,4,2,4,15
28,0,0,16,3,4,3,11
29,0,0,16,4,4,5,11
30,0,0,15,4,4,2,12
31,0,0,15,4,4,1,17
32,0,0,15,4,3,2,16
33,0,0,15,3,3,2,12
34,0,0,16,3,2,3,15
35,0,0,15,2,3,1,6
36,0,0,15,4,3,3,18
37,0,0,16,4,4,3,15
38,0,0,15,3,4,2,11
39,0,0,15,2,2,1,13
40,1,0,16,2,2,3,11
41,0,0,15,4,4,3,12
42,0,0,15,4,4,3,18
43,0,0,15,2,2,1,11
44,1,0,16,2,2,3,9
45,0,0,15,4,3,2,6
46,0,0,16,3,3,5,11
47,0,0,16,4,3,2,20
48,0,0,15,4,2,3,14
49,1,0,15,4,4,4,7
50,0,0,16,2,2,3,13
51,0,0,15,4,2,3,13
52,1,0,15,4,2,5,10
53,0,0,15,4,4,4,11
54,0,0,15,3,3,4,13
55,0,0,16,2,1,4,10
56,0,0,15,4,3,2,15
57,0,0,15,4,4,2,15
58,0,0,15,1,2,2,9
59,0,0,16,4,2,3,16
60,0,0,16,4,4,4,11
61,0,0,16,1,1,5,11
62,0,0,16,1,2,3,9
63,0,0,16,4,3,4,9
64,0,0,15,4,3,4,10
65,0,0,16,4,3,3,15
66,0,0,15,4,4,3,12
67,0,0,16,3,1,3,6
68,0,0,15,2,2,3,8
69,0,0,15,3,1,2,16
70,0,0,16,3,1,2,15
71,0,0,15,4,2,3,10
72,2,0,15,1,1,4,5
73,0,0,16,3,1,2,14
74,0,0,16,3,3,3,11
75,0,0,15,4,3,3,10
76,0,0,15,4,0,3,10
77,0,0,16,2,2,3,11
78,3,1,17,2,1,1,10
79,0,0,16,3,4,3,5
80,0,0,15,2,3,2,12
81,0,0,15,2,3,2,11
82,0,0,15,3,2,4,6
83,0,0,15,2,2,3,15
84,0,0,15,1,1,2,10
85,2,0,15,4,4,4,8
86,0,0,16,2,2,4,6
87,0,0,15,4,2,3,14
88,1,0,16,2,2,2,10
89,0,0,16,4,4,3,7
90,0,0,16,3,3,3,8
91,0,0,15,4,3,5,18
92,0,0,16,3,1,3,6
93,0,0,16,4,2,3,10
94,0,0,15,2,2,4,14
95,1,0,15,1,1,2,10
96,0,0,16,4,3,3,15
97,0,0,16,2,1,5,10
98,0,0,16,4,4,4,14
99,0,0,16,4,3,5,8
